College Name,Region,Region Type,Address,District,Website,Email address,Contact Number,TPO name,TPO contact number,Status,Autonomous Status
"G.H. Raisoni Institute of Engineering and Management, Jalgaon",Nashik,Rural,"Gat No. 57/1, Shirsoli Road, At. Post- Mohadi Tal. & Dist. Jalgaon, ",Jalgaon,www.raisoni.net,prabhakar.bhat@raisoni.net,2264882,Arun Daulatrao Patil,2264881,Un-Aided,Non-Autonomous
"K. C. E. Societys College of Engineering and Information Technology, Jalgaon ",Nashik,Urban,"C.S. No. 7480 and 7323, Behind D.I.C., N.H.No.6,  IMR Campus, Jilha Path, Jalgaon",Jalgaon,www.coeit.kces.in,coeit.inquiry@gmail.com,2242026,Prof. Sanjay R Sugandhi,2242025,Un-Aided,Non-Autonomous
"Shri Gulabrao Deokar College of Engineering, Jalgaon",Nashik,Rural,"Gat No. 56,  P.B. NO. 113, Shirsoli Road, Jalgaon ",Jalgaon,www.sgdcoejalgaon.org,principal@sgdcoejalgaon.org,2264873,Shashikant B Patil,2264871,Un-Aided,Non-Autonomous
"Nashik District Maratha Vidya Prasarak Samaj's Karmaveer Adv.Babaurao Ganpatrao Thakare College of Engineering, Nashik",Nashik,Urban,"Udoji Maratha Boarding Campus, Near Pumping Station, Gangapur Road, Nashik",Nashik,www.kbtcoe.org,principal@kbtcoe.org,7378497999,Mrs. Shrushti J. Shinde,2571439,Un-Aided,Non-Autonomous
"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",Nashik,Rural,"At Post mahiravani, Trimbak Road Dist Nashik",Nashik,www.sandipfoundation.org,principal@sitrc.org,222551,Mrs. Aruna Aher,222551,Un-Aided,Non-Autonomous
"Nashik District Maratha Vidya Prasarak Samaj's Institute of Management Research & Technology, Nashik",Nashik,Urban,"M. V. P. Campus, Gangapur Road, Shivaji Nagar, Nasik  422002",Nashik,www.imrt.ac.in,imrt_mba@yahoo.co.in,2571650,Aher U.B.,2571650,Un-Aided,Non-Autonomous
"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon ",Nashik,Rural,"At. Post Babulgaon, Tal Yeola, Nashik",Nashik,www.sndcoe.ac.in,sndcoe.principal@gmail.com,225011,Prof I. R. Shaikh,225012,Un-Aided,Non-Autonomous
"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik",Nashik,Rural,"At / Po Chincholi, Tal. Sinnar, Nashik",Nashik,www.svitnashik.in,svit.nashik@pravara.in,271261,Mr. Ghuge S L,271278,Un-Aided,Non-Autonomous
"Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik",Nashik,Rural,"Anjaneri Village, Trimbakeshwar, Dist.Nashik 422103",Nashik,www.brahmavalley.com,princi.bvcoe@gmail.com,2464691,Mr. Pagar Samadhan S.,220202,Un-Aided,Non-Autonomous
"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.",Nashik,Rural," A/P.Loni, Tal.Rahata  Dist.Ahmednagar ",Ahmednagar,www.pravaraengg.org.in,principal@pravaraengg.org.in,273204,Mr. B. M. Pansare,273204,Un-Aided,Non-Autonomous
"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon",Nashik,Rural,"Sahajanand Nagar, Po : Shingnapur, Tal : Kopargaon, Dist. Ahmednagar ",Ahmednagar,www.sanjivanicoe.org.in,principalcoe@sanjivani.org.in,222469,Shri K.M. Bhavsar,9130191301,Un-Aided,Autonomous
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Nashik,Rural,"vadgaon Gupta, Vilad Ghat, P.O.-MIDC, Ahmednagar ",Ahmednagar,www.enggnagar.com,prin_coea@yahoo.com,2779496,Mr. A.T.Bhosale,2777296,Un-Aided,Non-Autonomous
"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",Nashik,Rural,"P.O.: Sangamner Sakhar Karkhana, Tal : Sangamner, Dist. Ahmednagar",Ahmednagar,www.avcoe.org,principal@avcoe.org,259148, Prof. V. P. Waghe,259096,Un-Aided,Non-Autonomous
"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar",Nashik,Rural,"Poojya Sane Guruji Vidya Prasarak Mandal's, D.N. Patel College of Engineering, Shahada, Dist. Nandurbar",Nandurbar,www.coeshahada.ac.in,principal@coeshahada.ac.in,229649,Shri. D. N. Patil,229649,Un-Aided,Non-Autonomous
"Sanjay Education Society's College of Engineering, Navalnagar",Nashik,Rural,"Navalnagar, Tal & Dist. Dhule ",Dhule,www.sescoe.org,coenavalnagar@gmail.com,260245,Prof. P. R. Gawande ,260238,Un-Aided,Non-Autonomous
"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur",Nashik,Rural,"Jivram Nagar, ,Nhavi Marg, PO:Faizpur(MSSK),  Dist. Jalgaon ",Jalgaon,www.jtmcoef.ac.in,jtmcoef@rediffmail.com,248179,Pradip Vishnu Chaudhari,248256,Un-Aided,Non-Autonomous
"Nagaon  Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule",Nashik,Rural,"Nagaon At Post. Nagaon, Tal&Dist.  Dhule",Dhule,www.gangamaiengg.org,nagaonengg@rediffmail.com,243000,Shri. J. F. Patil,243170,Un-Aided,Non-Autonomous
"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal",Nashik,Rural,"Near Z.T.C Bhusawal, Dist. Jalgaon",Jalgaon,www.ssgbcoet.com,rps125@rediffmail.com,221719,Dr R P Singh,221719,Un-Aided,Non-Autonomous
"Godavari Foundation's Godavari College Of Engineering,  Jalgaon",Nashik,Urban,"Plot No.51, Dr. Ulhas Patil Nagar, Additional MIDC, Bhusawal Road, N.H.No.6, Jalgaon",Jalgaon,engg.godavarifoundation.org,gcoe2008@gmail.com,2213500,Ishwar Shenfadu Jadhav,2212999,Un-Aided,Non-Autonomous
"R. C. Patel Institute of Technology, Shirpur",Nashik,Urban,"Near Nimzari Naka, Shirpur Dist. Dhule",Dhule,www.rcpit.ac.in,registrar@rcpit.ac.in,259600,Prashant Mahajan,259600,Un-Aided,Non-Autonomous
"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering,  (Jain Gurukul), Neminagar,Chandwad,(Nashik)",Nashik,Rural,"Jain Gurukul, Neminagar, Chandwad Dist.  Nashik",Nashik,www.snjb.org,principalcoe@snjb.org,253752,Mr. Jadhav M M,205527,Un-Aided,Non-Autonomous
"G. H. Raisoni College of Engineering and Management, Ahmednagar",Nashik,Rural,"G.No.1030, At/Post-Chas,Nagar-Pune Road, Ahmednagar",Ahmednagar,ghrcemahm.raisoni.net,ghrcemahm@raisoni.net,2570123,Mr.Sunil R.Dhobe,2570123,Un-Aided,Non-Autonomous
"Matoshri College of Engineering and Research Centre, Eklahare, Nashik",Nashik,Rural,"At Post Eklahare, Taluka & District Nashik",Nashik,www.mcoerc.org,gkkharate@rediffmail.com,2406600,Mr. Nagare Baban .T.,2406600,Un-Aided,Non-Autonomous
"Vishwabharati Academy's College of Engineering, Ahmednagar",Nashik,Rural,"Sarola Baddi ,Jamkhed Road ,  Ahmednagar",Ahmednagar,www.vacoea.com,principal_vacoea@yahoo.com,2660033,Mr.Bargale R.P.,2660033,Un-Aided,Non-Autonomous
"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik",Nashik,Rural,"Sapkal Knowldege Hub,Kalyani Hills, Anjaneri- Wadholi, Tal. Trimbak, Nashik",Nashik,www.sapkalknowledgehub.org,gns_engineering@sapkalknowledgehub.org,220175,Mrs. shrushti J. Shinde,220175,Un-Aided,Non-Autonomous
"Shri Chhatrapati Shivaji College of Engineering, (Rahuri Factory), Tal.Rahuri, Dist.Ahmednagar",Nashik,Rural,"Shree Shivaji Nagar (Rahuri Factory), Tal. Rahuri,  Dist. Ahmednagar ",Ahmednagar,www.scscoe.org,scsc_eng@yahoo.in,9156532111,Shri. Adhav Yogesh Janardhan,251200,Un-Aided,Non-Autonomous
"A.J.M.V.P.S. Institute of Hotel Management & Catering Technology College, Ahmednagar",Nashik,Urban,"Lal Taki Road, Near Law College, Ahmednagar",Ahmednagar,www.ihmct.in,ihmctajmvps@gmail.com,2326778,Idhate P. B.,2326778,Un-Aided,Non-Autonomous
"Mahatama Gandhi Vidyamandir's College of Hotel Management & Catering Technology , Nashik",Nashik,Urban,"Mumbai-Agra Highway, Panchavati, Nashik",Nashik,www.mgv.edu/hmct,mgvihmct@rediffmail.com,2628281,Aashok Ghumare,2628281,Un-Aided,Non-Autonomous
"Pravara Rural Education Society's Padmashri Dr. Vittalrao Vikhe Patil Institute of Technology and Engineering Polytechnic ,Pravaranagar",Nashik,Rural,"A/P Loni Bk.-413 713, Taluka Rahata,Ahmednagar  413736",Ahmednagar,www.pravara.in,principal.polyloni@pravara.in,273484,Shri. P.J. Dangat,272151,Un-Aided,Non-Autonomous
"Mgts Mandal's Sharadchandrika Suresh Patil Institute Of Technology(Polytechnic), Chopda",Nashik,Rural,"Yawal Road, Chopda Jalgaon , 425107",Jalgaon,www.polychopda.org,0061principal@msbte.com,222100,Shri.P.A.Deshmukh,222100,Un-Aided,Non-Autonomous
"Shree Sant Muktabai Sansthan's Shri Sant Muktabai Institute of Technology, Jalgaon",Nashik,Urban,"B.J Nagar Pimparala Road, P.Box No 132, Jalgaon , 425001",Jalgaon,www.muktaieducation.org,smitcollegejalgaon@gmail.com,2250776,Patil Diwakar Jijabrao ,2250500,Un-Aided,Non-Autonomous
"Technical & Medical Education Society's J. T. Mahajan Polytechnic, Faizpur",Nashik,Rural,"Nhavimarg, Faizpur Jalgaon , 425524",Jalgaon,www.jtmpoly.ac.in,jtmpfaiz@gmail.com,248556,Shri.Ramanlal Ghanashyam Mahajan,248156,Un-Aided,Non-Autonomous
"MET's Institute of Technology Polytechnic, Bhujbal Knowledge City, Adgaon Nashik",Nashik,Urban,"Bhujbal Knowledge City, Adgaon ,Nashik 422003",Nashik,www.metbhujbalknowledgecity.ac.in,principal_iot@bkc.met.edu,2555825,S. N. PILLAI,2555825,Un-Aided,Non-Autonomous
"Kai. Vanjibaba Gramin Vikas Mandal, Shantidevi Chavhan Institute of Engineering & Technology, Chalisgaon",Nashik,Rural,"Survey No. 94/3/1 & 2, At Post Bhoras, Tal Chalisagtion,  Jalgaon , 424101",Jalgaon,www.sscpolycsn.com,1004principal@msbte.com,257357,PATIL S.H.,257356,Un-Aided,Non-Autonomous
"Trimurti Shikshan Prasarak Mandal, Trimurti Institute Of Technology, Paladhi Bk, Jalgaon",Nashik,Rural,"Survey No.227/2, Paldhi Bk, Next To North Maharashtra University, Tal-Dhamangaon, Dist:Jalgaon ",Jalgaon,www.tspmjalgaon.com,manojpatil9737@rediffmail.com,202292,manoj patil,202292,Un-Aided,Non-Autonomous
"The People Education Society's, Diploma College Of Enggineering & Technology,Jamkhed",Nashik,Urban,"Behind Police Line,Jamkhed Dist. Ahmednagar  413201",Ahmednagar,www.pesjamkhed.com,pesdcet@gmail.com,221222,Dahale S.H,221233,Un-Aided,Non-Autonomous
"Kisan Dnyanoday Mandal Gudhe's Dr. Uttamrao Mahajan Institute Of Engineering & Technology,Chalisgaon, Jalgaon",Nashik,Rural,"Gat No.140 2 A/1,140 2 A/2, Aurangabad Byepass Road, Chalisgaon Dist-Jalgaon 424101",Jalgaon,www.kdmgsinstitutions.co.in,1178principal@msbte.com,202252,Dr. H. U. Mahajan,202252,Un-Aided,Non-Autonomous
"Matoshri Education Soceity, Matoshri Institute Of Technology, Dhanore, Nashik",Nashik,Rural,"Dhanore Tal.Yeola, Dist.Nashik  423401",Nashik,www.mityeola.in,mityeola@gmail.com,267560,Mr.R P Phad,267561,Un-Aided,Non-Autonomous
"Mahatma Gandhi Vidyamandir's Institute Of Industrial & Pharmaceutical Technology, Nashik",Nashik,Urban,"MUMBAI-AGRA HIGHWAY, PANCHAVATI, NASHIK-422003 ",Nashik,www.mgv.org.in,mgv.iipt@gmail.com,2628201,Mr Ravindra Vishwanath Sonar,2511931,Un-Aided,Non-Autonomous
"Shri.Sant Muktabai  Santha's Institute  of Technology, Jalgaon",Nashik,Urban,"B.J.Nagar, Pimprala Road, P.O.Box No.132, Jalgaon 425001 (M.S.) ",Jalgaon,www.muktaieducation.org,smitcollegejalgaon@gmail.com,2250776,Mr. D.J.Patil,2250500,Un-Aided,Non-Autonomous
"Mahatma Gandhi Vidya Mandir Institute Of  Hotel Management And Catering Technology,Nashik",Nashik,Urban,"Panchavati,Mumbai-Agra Road, Nashik 422003",Nashik,www.mgv.org.in,mgvdhmct@gmail.com,2628281,Mr Sanjay Keshav Kadwe,2628283,Un-Aided,Non-Autonomous
"Pune Vidyarthi Griha's College Of Engineering, Nashik",Nashik,Urban,"206, Dindori Road, Near Meri, Mhasrul, Nashik",Nashik,pvgcoenashik.org,pvgcoenashik@gmail.com,6480003,Mr S.N.Gunjal,6480036,Un-Aided,Non-Autonomous
"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Technology, Agastkhind, Tal Sinner",Nashik,Rural,"Srv. No. 2, At. Post Agastkhind, Tal Sinner Dist. Nashik 422502",Nashik,www.sitp.co.in,1473principal@msbte.com,02551304,Akolkar Naresh Shashikant,02551304,Un-Aided,Non-Autonomous
"Seva Shikshan Prasarak Mandal, Dr. N. J. Paulbudhe Institute of Technology, Narayandoho Tal Nagar, Ahmednagar
",Nashik,Rural,Gate No. 479 At. Post Narayandoho Tal Nagar Dist. Ahmednagar,Ahmednagar,sspm.online.org.in,polytech_paulbudhe@yahoo.in,2030627,MR. KARAMPURI R.S.,2030626,Un-Aided,Non-Autonomous
"Nashik Institute of Technology, Late Annasaheb Patil Polytechnic , Dindori Road Cannol road ,MERI ,Nashik",Nashik,Urban,"Srv. No,.155 / 1A Dindori Road Cannol road MERI Nashik ",Nashik,www.nitnasik.com,principal@nitnasik.com,2629777,Mr. JAGTAP M.P.,2024121,Un-Aided,Non-Autonomous
"Godavari Foundation,Dr.Varsha Patil Institute of Technology, Jalgaon",Nashik,Rural,Jalgaon  425309,Jalgaon,www.dvpit.in,dvpit2010@gmail.com,77200899,S.D.Bendale,77200899,Un-Aided,Non-Autonomous
"Shri. Jaykumar Rawal Institute of Technology, Dondaicha.",Nashik,Rural,"At Post Dondaicha, Dist. Dhule",Dhule,www.jaytech.co,5381jaytech@gmail.com,244123,MR SHAMKUMAR BHAVSAR,0256244123,Un-Aided,Non-Autonomous
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Nashik,Rural,"Survey No. 162& 163, Nepti, Nagar Kalyan Road, Ahmednagar",Ahmednagar,www.scoea.org,scsmcoe.anr@hotmail.com,2568384,Mr. M. B. Amrute,2568383,Un-Aided,Non-Autonomous
"Shree Saibaba Institute of Engineering, Research & Allied Sciences, Rahta.",Nashik,Rural,"At Post Rahta, Taluka Rahata, Dist. Ahmednagar",Ahmednagar,www.shrisaibabaengg.org,shrisaibabaengg@gmail.com,204578,Rohamare R.V.,204580,Un-Aided,Non-Autonomous
"Akole Taluka Education Society,s Technical Campus, Akole, Ahmednagar",Nashik,Rural,"Akole, Tal. Akole, Dist. Ahmednagar",Ahmednagar,www.atestc.com,akole2011@gmail.com,95957577,Wakchaure Santosh Tukaram,221123,Un-Aided,Non-Autonomous
"Ashok Institute of Engineering & Technology(Polytechnic), Shrirampur.",Nashik,Rural,"Ashok Nagar, Tal.Shrirampur, Dist. Ahmednagar.413717",Ahmednagar,www.ashokpolytechnic.org,ashoktech_ashoknagar@yahoo.com,246021,Thorat Sachin N,246021,Un-Aided,Non-Autonomous
"College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon",Nashik,Rural,"Gat No 166 Bambhori, Jalgaon",Jalgaon,www.nmkcj.org,nmkcjalgaon49@gmail.com,02588202,Rohit C Patil,93714,Un-Aided,Non-Autonomous
"Jawahar Education Society's Institute of Technology, Management & Research, Nashik.",Nashik,Rural,"Survey No.48, Gowardhan, Gangapur Road, Nashik.",Nashik,www.jitnashik.edu.in,principaljitnashik@rediffmail.com,2970077,Mr. Jagdish V. Patil,2970077,Un-Aided,Non-Autonomous
"Gurukul Education Society's Institute of Engineering & Technology, Nandgaon",Nashik,Rural,"S.No. 34/1B, & 34/2, At Phule Nagar, Post Nandgaon, Tal. & Dist. Nashik.",Nashik,www.gurukulpolytechnic.org,1607principal@msbte.com,243488,MR.NILLESH S.VAIDYA,243488,Un-Aided,Non-Autonomous
"Vidya Niketan College of Engineering, Bota Sangamner",Nashik,Rural,"Gat No. 670, Vidya Nagari, Pune Nashik Road, at post Bota, TalSangamner, Dist. Ahmednagar.",Ahmednagar,www.vidyaniketanglobal.com,vncoe.principal@gmail.com,8600888433,SANDIP BHAIK,8600888433,Un-Aided,Non-Autonomous
"Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar",Nashik,Rural,"At Post Karjule Harya, Tal. Parner, Dist Ahmednagar",Ahmednagar,www.rgcoe.org,rajivgandhi.iot@gmail.com,9604049525,Mr.Pawar Santosh Barku,295101,Un-Aided,Non-Autonomous
"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon.",Nashik,Rural,"Mansoora, Malegaon-Manmad Road, P.B.No.144, Malegaon, Nashik.",Nashik,www.mmantc.in,mmantc@gmail.com,9970178118,Mr.Hamid Ajij Shaikh ,02554,Un-Aided,Non-Autonomous
"Nikam Institute of Technology(Polytechnic),Dhule",Nashik,Rural,"Morane-Gondur byPass road,Gondur",Dhule,www.nitgondur.org,5414nikampoly@gmail.com,297309,JITENDRA ANANDRAO SONAWANE,297309,Un-Aided,Non-Autonomous
"Guru Gobind Singh College of Engineering & Research Centre, Nashik.",Nashik,Urban,"Khalsa Educational Complex, Guru Gobind Singh Marg, Nashik.",Nashik,www.ggsf.edu.in,gcoerc.nashik@ggsf.edu.in,2372766,Manoj Koli,2372766,Un-Aided,Non-Autonomous
"Mauli Institute of Technology (Polytechnic), Amalner, Dist. Jalgaon",Nashik,Rural,"Gut No.25/1/A, Dheku Road, Ambasan Dheku, Amalner, District Jalgaon. ",Jalgaon,www.maulipoly.com,maulipoly@gmail.com,7588007270,MR.SWAPNIL PATIL,218200,Un-Aided,Non-Autonomous
"Shri. Sai Institute of Technology, Amalner",Nashik,Rural,"Gat NO.15/1, Devli/Devgaon, Tal.Amalner, Dist Jalgaon.",Jalgaon,shrisaiinstituteoftechnology.org,php_pune@rediffmail.com,9423479388,Prakash H. Patil,218312,Un-Aided,Non-Autonomous
"Shri Vile Parle Kelavani Mandal's Institute of Technology, Dhule",Nashik,Urban,"Survey No. 499/1, Plot No.2, Behind Gurudwara, Mumbai Agra Highway, Dhule",Dhule,www.svkm-iot.ac.in,IOTDhule@svkm.ac.in,2562297801,Mr. Anmol Suryavanshi,2562297801,Un-Aided,Non-Autonomous
"Government College of Engineering & Research, Avasari Khurd",Pune,Rural,"Avasari, Tal. Ambegaon. Dist. Pune",Pune,www.gcoeara.ac.in,gcoeara@gmail.com,230582,"I/c Registrar, Shri. C.A. Suryawanshi",230582,Government,Non-Autonomous
"Government College of Engineering, Karad",Pune,Rural,"Vidyanagar, Karad  Dist. Satara",Satara,www.gcekarad.ac.in,principal@gcekarad.ac.in,272415,Mr. D. Y. Peraspure,272414,Government,Autonomous
"College of Engineering, Pune",Pune,Urban,"Wellesly Road, Shivaji Nagar, Pune",Pune,www.coep.org.in,director@coep.ac.in,25507001,0,25507000,Government,Autonomous
"Walchand College of Engineering, Sangli",Pune,Urban,"Walchand College of Engineering, Vishram Bagh, Sangli",Sangli,www.walchandsangli.ac.in,director@walchandsangli.ac.in,2305506,Dr. D. B. Kulkarni,2303433,Government-Aided,Autonomous
"Institute of Civil and Rural Engineering(aided), Gargoti, Kolhapur",Pune,Rural,"Hutatma Murlidhar Nagar, Gargoti, Kolhapur  416209",Kolhapur,www.icregargoti.org,icre_gargoti@rediffmail.com,220249,Shri Bhoite P.D.,220069,Government-Aided,Non-Autonomous
"Maharashtra  Institute of  Printing Technology(Aided), Pune",Pune,Urban,"1786, Sadashiv Peth Pune , 411030",Pune,www.pvgmipt.ac.in,mipt.pvg@gmail.com,24470573,Mr.A.B.Mahadik,24479058,Government-Aided,Non-Autonomous
"Cusrow Wadia Institute of Technology( Aided ), Pune ",Pune,Urban,"19, Bundgarden Rd.,Pune Pune , 411001",Pune,www.cwitpune.com,cwitpune@rediffmail.com,26161310,Shri S. R. Abnave,26164814,Government-Aided,Autonomous
"Maharashtra State Institute of Hotel Management & Catering Technology,Pune",Pune,Urban,"412-C, Shivaji Nagar, Pune , 411016",Pune,www.msihmctpune.edu.in,office.msihmcpune@dtemaharashtra.gov.in,25676640,Mrs. Sunita Jagtap,25677189,Government,Autonomous
"Department of Technology, Shivaji University, Kolhapur",Pune,Rural,"Vidyanagar, Kolhapur",Kolhapur,www.unishivaji.ac.in,director.tech@unishivaji.ac.in,2605972,Dr.V.D.Nandavadekar,2605970,University Department,Non-Autonomous
"Sinhgad Technical Education Society's Sinhgad Institute of Management, Vadgaon (Budruk), Pune",Pune,Urban,"S. No. 44/1, Opp Sinhagad Road, Vadgaon (Budruk), Pune  411041",Pune,www.sinhgad.edu,director_siom@sinhgad.edu,24355531,Mrs.Rupali Warokar,24356592,Un-Aided,Non-Autonomous
"Vidya Pratishthan Institute of Information Technology, Baramati, Pune",Pune,Rural,"Vidyanagari, Bhigwan Road, Baramati Dist. Pune  413133",Pune,www.viitindia.org,info@viitindia.org,239555,Mr. Sanjay Jagtap,239555,Un-Aided,Non-Autonomous
"Progressive Education Society's Modern College of Engineering, Pune",Pune,Rural,"P.E.S. Modern College of Engineering, 1186 A, Shivajinagar, Off. J.M. Road, Pune ",Pune,www.moderncoe.edu.in,pesmcoe@gmail.com,25533638,Mr. D. D. Gangurde,25533638,Un-Aided,Non-Autonomous
"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",Pune,Urban,"S. No. 80/3, Mumbai Pune Bypass Highway,  Tathawade,Tal-Munshi, Dist. Pune",Pune,www.rscoe.org,rscoe@jspm.edu.in,22934347,Dr. Amey A Choudhari,22933423,Un-Aided,Autonomous
"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune",Pune,Urban,"Survey No. 25/1/3, Infront of Chatrapati Shivaji Sports Stadium, Balewadi, Tal. Haveli, Dist. Pune",Pune,www.gsmozecoe.org,ratnaraj.jambi@gmail.com,27390064,Ratna Raja Kumar,27390500,Un-Aided,Non-Autonomous
"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Pune,Urban,"S. No. 58, Indrayani Nagar, Handewadi Road, Hadapsar, Pune",Pune,www.jspm.edu.in,drmgjadhav@gmail.com,26970983,Gawade J.R.,26970886,Un-Aided,Non-Autonomous
"MIT Academy of Engineering,Alandi, Pune",Pune,Urban,"Alandi (D) Tal. Khed, Dist. Pune",Pune,www.mitaoe.ac.in,principal@maepune.ac.in,30253600,Mr. Manoj N Bade,30253500,Un-Aided,Autonomous
"MAEER's M.I.T. College of Engineering , Kothrud, Pune",Pune,Urban,"S.No. 124, Ex. Serviceman Colony, MIT College Campus, Paud Road, Kothrud, Pune",Pune,www.mitcoe.edu.in,principal@mitcoe.edu.in,30273400,Mr. Yogesh B. Shedge,30273400,Un-Aided,Non-Autonomous
"Choudhary Attar Singh Yadav Memorial Trust,Siddhant College of Engineering, Maval",Pune,Rural,"Chakan Talegaon Road, At Post Sudumbare, Tal. Maval Dist. Pune",Pune,www.siddhantcoe.edu.in,engineeringprincipal@gmail.com,661966,Miss Babar.D.R,661904,Un-Aided,Non-Autonomous
"Maharashtra Institute of Technology, Kothrud, Pune",Pune,Urban,"Paud Road,Survey No. 124, Ex-Servicemen Colony Paud Road, Kothrud, Pune",Pune,www.mitpune.com,mit@mitpune.com,30273456,ABHAY BIRARI,30273400,Un-Aided,Non-Autonomous
"G.H.Raisoni College of Engineering & Management, Wagholi, Pune",Pune,Urban,"Gat No. 1200 , Domkhel Road, Wagholi,Tal-Haveli, Dist. Pune",Pune,ghrcem.raisoni.net,ghrcem.pune@raisoni.net,9921580670,Mr. S. H. Karande,9921580670,Un-Aided,Autonomous
"JSPM's Imperial College of Engineering and Research, Wagholi, Pune",Pune,Rural,"Gat No. 720/2, Pune-Ahmadnagar Road, Wagholi, Tal- Haveli,  Dist. Pune",Pune,www.jspmicoer.edu.in,principal@jspmicoer.edu.in,67335102,Dr . A. W. Dhawale,67335100,Un-Aided,Non-Autonomous
"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Pune,Urban,"Sector 26, Pradhikaran,  Nigdi Pradhikaran, Pune ",Pune,www.pccoepune.com,pccoeadmin@gmail.com,27653168,Mr. P. S. Patil,27653168,Un-Aided,Non-Autonomous
"G. H.Raisoni Institute of Engineering and Technology, Wagholi, Pune",Pune,Urban,"Gat No.1200, Navin Wagholi, Tal. Haveli  Dist. Pune",Pune,ghriet.raisoni.net,r.kharadkar@raisoni.net,9604787185,Prof Hate Sudhir ,9604787186,Un-Aided,Non-Autonomous
"Sinhgad College of Engineering, Vadgaon (BK), Pune",Pune,Urban,"44/1, Vadgaon,(bk) off Sinhgad Road Pune ",Pune,www.sinhgad.edu,principal.scoe@sinhgad.edu,24354705,V D Tayade,24100000,Un-Aided,Non-Autonomous
"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune",Pune,Urban,"S. No. 44/1, Vadgaon(bk) off Sinhgad Road, Pune",Pune,www.sinhgad.edu,principal.skncoe@sinhgad.edu,24354938,KAVITA SHIRISH BORGAVE,24354938,Un-Aided,Non-Autonomous
"Indira College of Engineering & Management, Pune",Pune,Rural,"Survey No.64,65,Gat No.276, At Post Parandwadi, Near Somatne Phata, Tal- Maval Dist. Pune",Pune,www.indiraicem.ac.in,principal@indiraicem.ac.in,661500,Mr.Gajanan T. Adke,661500,Un-Aided,Non-Autonomous
"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima",Pune,Rural,"Sharad Campus Pimpal, Jagtap Road A/P, Koregaon Bhima Tal-Shirur, Pune",Pune,www.alameencoe.com,alameenpune@gmail.com,646010,SHAIKH TANVEER SABIR,646015,Un-Aided,Non-Autonomous
"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli",Pune,Rural,"S.No. 25/27, Pisoli, Tal.Haveli Dist. Pune",Pune,www.kjei.edu.in,trinitycoe@gmail.com,8446041199,Mr.Prashant Renushe,8446041199,Un-Aided,Non-Autonomous
"Sinhagad Institute of Technology, Lonavala",Pune,Rural,"Gat No.309/310/314, Pune-Mumbai Express Highway, kasgaon(BK), Lonavala Pune , 410401",Pune,www.sinhgad.edu,principal_sit@sinhgad.edu,673353,D R RAUT,673356,Un-Aided,Non-Autonomous
"Sinhgad Academy of Engineering, Kondhwa (BK)  Kondhwa-Saswad Road, Pune",Pune,Rural,"S.No.40/4A, Kondhwa(BK), Kondhwa-Saswad Road, Pune ",Pune,www.sinhgad.edu,saeprincipal@sinhagad.edu,26934550,S.N. Kamat,26934441,Un-Aided,Non-Autonomous
"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune",Pune,Rural,"Survey No.35, Plot No. 5/6, Lohgaon Tal. Haveli Dist. Pune",Pune,www.mmit.edu.in,principal@mmit.edu.in,9049008003,Uday Wankhede,7447786623,Un-Aided,Non-Autonomous
"Pune District Education  Association's College of Engineering, Pune",Pune,Rural,"Hadapsar-Manjari Road, Manjari(BK),Dist. Pune ",Pune,www.pdeacoem.org,coem@pdeapune.org,26996625,VAIDYA M C,26996275,Un-Aided,Non-Autonomous
